feature,label
-0.5076,1
-0.5914,1
-0.4519,0
-0.1819,0
0.6699,0
-1.1394,1
0.5977,0
0.6163,1
0.1881,0
0.734,1
0.3905,1
-2.0392,0
0.6565,0
-0.3306,0
0.1647,1
-0.1519,1
0.644,0
-1.8911,1
0.8395,1
1.3083,0
0.4473,1
-0.5505,1
-0.6054,0
1.6752,0
0.6479,1
0.0971,1
1.7185,1
-1.9653,1
-0.6367,1
-0.7844,0
1.9865,0
1.7589,1
1.3087,1
0.3208,1
-2.6539,0
1.121,1
0.5241,0
-0.3833,1
2.2793,0
0.0242,1
-2.2149,1
1.0203,1
-0.2671,1
-0.4414,1
-0.4432,1
-0.7702,0
0.5284,1
1.3811,0
-0.6329,0
-0.5617,1
